No.;Time;;time 1;time 2;Delay;;Delay1;Delay2;jitter;;;;;;;;;;;;;;;Source;Destination;Protocol;Length;Info;;;
1;0;;0;0,001157;0,001157;;2090405,998;2090405,999;0,001157;;;;;;;;;;;;fe80::7962:bd7e:4086:296;fe80::1;ICMPv6;86;Neighbor Solicitation for fe80::1 from f8:94:c2:4e:37:0c;;;;;;
2;0,001157;;0,001157;2.090.406;2090405,999;;-2041720,999;48685;2090405,999;;;;;;;;;;;;fe80::1;fe80::7962:bd7e:4086:296;ICMPv6;78;Neighbor Advertisement fe80::1 (rtr, sol);;;;;;
3;2.090.406;;2.090.406;2.139.091;48685;;1752685;1.801.370;48685;;;;;;;;;;;;192.168.1.16;172.217.194.93;UDP;75;55698  >  443 Len=33;;;;;;
4;2.139.091;;2.139.091;3.940.461;1801370;;-1770155;31.215;1801370;;;;;;;;;;;;172.217.194.93;192.168.1.16;UDP;67;443  >  55698 Len=25;;;;;;
5;3.940.461;;3.940.461;3.971.676;31215;;-30760;455;31215;;;;;;;;;;;;192.168.1.16;172.217.194.93;UDP;1064;55698  >  443 Len=1022;;;;;;
6;3.971.676;;3.971.676;3.972.131;455;;239;694;455;;;;;;;;;;;;172.217.194.93;192.168.1.16;UDP;466;443  >  55698 Len=424;;;;;;
7;3.972.131;;3.972.131;3.972.825;694;;6491;7.185;694;;;;;;;;;;;;172.217.194.93;192.168.1.16;UDP;221;443  >  55698 Len=179;;;;;;
8;3.972.825;;3.972.825;3.980.010;7185;;5035;12.220;7185;;;;;;;;;;;;192.168.1.16;172.217.194.93;UDP;75;55698  >  443 Len=33;;;;;;
9;3.980.010;;3.980.010;3.992.230;12220;;-7066;5.154;12220;;;;;;;;;;;;fe80::7962:bd7e:4086:296;fe80::1;DNS;100;Standard query 0xb150 A beacons.gcp.gvt2.com;;;;;;
10;3.992.230;;3.992.230;3.997.384;5154;;19510;24.664;5154;;;;;;;;;;;;;;;fe80::1;fe80::7962:bd7e:4086:296;DNS;401;Standard query response 0xb150 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com A 172.217.194.94 NS ns2.google.com NS ns4.google.com NS ns3.google.com NS ns1.google.com A 216.239.34.10 A 216.239.32.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a;;;
